id,name,grade,owner_id
1,Новички 1,10,96
2,Базовая группа 1,11,97
3,Продвинутая группа 1,10,98
4,Новички 2,10,99
5,Базовая группа 2,11,100
6,Продвинутая группа 2,11,96
7,Новички 3,11,97
8,Базовая группа 3,11,98
9,Продвинутая группа 3,10,99
10,Новички 4,11,100
11,Новички 5,10,196
12,Базовая группа 4,11,197
13,Продвинутая группа 4,10,198
14,Новички 6,10,199
15,Базовая группа 5,11,200
16,Продвинутая группа 5,11,196
17,Новички 7,11,197
18,Базовая группа 6,11,198
19,Продвинутая группа 6,10,199
20,Новички 8,11,200
