id,task_id,test_attempt_id,answer,datetime_started,time_spent
1,1,28,D,05.03.2024 13:04:27,951
2,2,28,B,05.03.2024 13:20:18,84
3,3,28,B,05.03.2024 13:21:42,50
4,4,28,D,05.03.2024 13:22:32,923
5,5,28,D,05.03.2024 13:37:55,397
6,6,28,C,05.03.2024 13:44:32,357
7,7,28,D,05.03.2024 13:50:29,481
8,8,28,D,05.03.2024 13:58:30,321
9,9,28,A,05.03.2024 14:03:51,181
10,10,28,A,05.03.2024 14:06:52,851
11,11,28,,05.03.2024 14:21:03,
12,1,145,A,06.03.2024 0:15:44,894
13,2,145,A,06.03.2024 0:30:38,306
14,3,145,C,06.03.2024 0:35:44,722
15,4,145,B,06.03.2024 0:47:46,389
16,5,145,B,06.03.2024 0:54:15,653
17,6,145,,06.03.2024 1:05:08,
18,1,144,C,06.03.2024 17:06:26,390
19,2,144,B,06.03.2024 17:12:56,338
20,3,144,C,06.03.2024 17:18:34,280
21,4,144,,06.03.2024 17:23:14,
22,1,142,B,06.03.2024 23:41:07,986
23,2,142,D,06.03.2024 23:57:33,216
24,3,142,C,07.03.2024 0:01:09,190
25,4,142,A,07.03.2024 0:04:19,331
26,5,142,D,07.03.2024 0:09:50,439
27,6,142,D,07.03.2024 0:17:09,395
28,7,142,A,07.03.2024 0:23:44,267
29,8,142,A,07.03.2024 0:28:11,231
30,9,142,A,07.03.2024 0:32:02,264
31,10,142,C,07.03.2024 0:36:26,538
32,11,142,D,07.03.2024 0:45:24,199
33,12,142,C,07.03.2024 0:48:43,625
34,13,142,C,07.03.2024 0:59:08,257
35,14,142,D,07.03.2024 1:03:25,586
36,15,142,A,07.03.2024 1:13:11,785
37,16,142,B,07.03.2024 1:26:16,23
38,17,142,A,07.03.2024 1:26:39,899
39,18,142,C,07.03.2024 1:41:38,566
40,19,142,D,07.03.2024 1:51:04,963
41,20,142,B,07.03.2024 2:07:07,926
42,21,142,,07.03.2024 2:22:33,
43,1,29,A,07.03.2024 23:45:34,808
44,2,29,A,07.03.2024 23:59:02,311
45,3,29,A,08.03.2024 0:04:13,359
46,4,29,B,08.03.2024 0:10:12,127
47,5,29,D,08.03.2024 0:12:19,551
48,6,29,C,08.03.2024 0:21:30,211
49,7,29,B,08.03.2024 0:25:01,583
50,8,29,A,08.03.2024 0:34:44,353
51,9,29,D,08.03.2024 0:40:37,672
52,10,29,A,08.03.2024 0:51:49,803
53,11,29,C,08.03.2024 1:05:12,367
54,12,29,C,08.03.2024 1:11:19,741
55,13,29,C,08.03.2024 1:23:40,894
56,14,29,D,08.03.2024 1:38:34,608
57,15,29,C,08.03.2024 1:48:42,134
58,16,29,D,08.03.2024 1:50:56,778
59,17,29,D,08.03.2024 2:03:54,915
60,18,29,C,08.03.2024 2:19:09,78
61,19,29,B,08.03.2024 2:20:27,11
62,20,29,A,08.03.2024 2:20:38,885
